PurchaseOrderId,product_name,purchase_count,purchase_dummy
16070,Weatherstrip,3,1
16070,Rear Door - RH,1,1
16070,Front Door - LH,1,1
16070,Front Door - RH,1,1
16070,Towing cap,1,1
16063,Rear Brake Shoe Set,1,1
16058,Rear Bumper,1,1
16058,Holder,1,1
16058,Rear Bumper Side Right,1,1
16170,Ac Control Unit,1,1
16061,Oil Seal,1,1
16131,Interior Rear View Mirror,1,1
16065,Front Brake Disc,1,1
16065,Lower Arm - LH,1,1
16065,Lower Arm - RH,1,1
16065,Front Stabilizer Link Set,1,1
16065,Front Fog Lamp - LH,1,1
16066,AC Cooling Module Assy,1,1
16085,Air Filter,1,1
16079,Clip,1,1
16072,Oil Filter,1,1
16072,Air Filter,1,1
16072,Fuel Filter,1,1
16072,Front Stabilizer Link - LH/RH,1,1
16083,Emblem Kit,1,1
16073,Front Bumper,1,1
16069,Fuel Filter Assy,1,1
16093,Holder,1,1
16093,Front Bumper - RH,1,1
16093,Front Fender - RH,1,1
16096,Head Lamp - RH,1,1
16096,Front Bumper,1,1
16096,Front Fender Lining - RH,1,1
16096,Head Lamp - LH,1,1
16074,Caliper,1,1
16074,Bolt,1,1
16074,Wheel Nut,1,1
16074,Fog Lamp Cover - RH,1,1
16077,Gear Shifter Cable,1,1
16081,Holder,1,1
16081,Front Bumper - LH,1,1
16076,Fuel Filter,1,1
16075,Air Filter,1,1
16078,Mirror Assy - LH,1,1
16097,Pipe,1,1
16080,Oil Cooler,1,1
16084,Ignition Coil,1,1
16082,AC Gas - 450G,1,1
16176,Wiper Blade,1,1
16176,Mud Flap Set,1,1
16089,Front Brake pad,1,1
16089,AC Filter,1,1
16099,Rear Brake Shoe Set,1,1
16099,Front Indicator Lens - RH,1,1
16099,Inner Door Handle - RH,1,1
16088,Air Filter,1,1
16100,Engine Oil - Taxi Special - 5W30 (209L),1,1
16090,Mirror Assy - RH,1,1
16092,Radiator Fan Assy,1,1
16094,Cap,1,1
16094,Belt,1,1
16087,Rear Bumper,1,1
16095,Radiator Shroud,1,1
16091,Oil Filter,1,1
16107,Clutch Set (Disc+Pressure Plate+Bearing),1,1
16293,Chrom Top Grill,1,1
16293,Head Lamp - LH,1,1
16293,Front Bumper Lower,1,1
16293,Radiator Support Bracket Upper,1,1
16113,Air Filter,1,1
16108,Oil Filter,1,1
16098,Fog Lamp Set,1,1
16102,Front Fender - LH,1,1
16102,Head Lamp - LH,1,1
16115,Lower Arm Set,1,1
16115,Front Shock Absorber,1,1
16115,Shock Absorber Strut Kit,1,1
16115,Front Suspension Strut Mount,1,1
16115,Balance Rod Bush,1,1
16115,Front Stabilizer Link - LH/RH,1,1
16103,Tie Rod End,1,1
16112,Front Brake pad,1,1
16106,Pipe,1,1
16105,Power Steering Motor Assy,1,1
16101,Holder,1,1
16101,Front Bumper - RH,1,1
16104,Crankshaft Sensor,1,1
16305,Mirror Lens - RH,1,1
16121,Mirror Cap,1,1
16109,Air Filter,1,1
16110,Air Filter,1,1
16118,Mirror Assy - RH,1,1
16119,Rear Tail Lamp - RH,1,1
16124,Air Filter,1,1
16124,Rear Tail Lamp - RH,1,1
16124,Rear Tail Lamp - LH,1,1
16124,AC Filter,1,1
16160,Rear Power Window Regulator - RH,1,1
16122,Front Brake pad,1,1
16122,Seal,1,1
16122,Diff Side Oil - LH,1,1
16123,Front Brake pad,1,1
16123,Seal,1,1
16123,Diff Side Oil - LH,1,1
16114,Rear Tail Lamp - RH,1,1
16116,Front Suspension Strut - RH,1,1
16116,Front Suspension Strut - LH,1,1
16116,Lower Arm,1,1
16117,Air Filter,1,1
16117,Brake Light Switch,1,1
16158,Valve Door Gasket,1,1
16158,Weatherstrip,1,1
16158,Rear Door Outer - RH,1,1
16132,Front Bumper,1,1
16120,Rear Tail Lamp - RH,1,1
16125,Clutch Set (Disc+Pressure Plate+Bearing),1,1
16125,Clutch Cable,1,1
16125,Gear Oil 1L,1,1
16126,Gear Leaver Knob,1,1
16139,Front Bumper Upper Grill,1,1
16139,Front Bumper Lower Grill,1,1
16139,Fog Lamp Cover - RH,1,1
16139,Bush,1,1
16139,Front Fender Lining - RH,1,1
16141,Controller Assy,1,1
16141,Epi -A/C,1,1
16133,Clutch Set (Disc+Pressure Plate+Bearing),1,1
16133,Ball Joint,1,1
16133,Tie Rod End Set,1,1
16133,Oil Seal,1,1
16133,Front Stabilizer Link Set,1,1
16148,Fender Lining,1,1
16135,AC Filter,1,1
16135,Glass,1,1
16136,AC Filter,1,1
16136,Glass,1,1
16130,Alternator Belt,1,1
16129,Member Front Side,1,1
16134,Clutch Kit (Disc+Pressure Plate),1,1
16134,Clutch Release Bearing,1,1
16134,Clutch Cable,1,1
16205,Front Wheel Arch Cladding - RH,1,1
16205,Indicator Front - RH,1,1
16210,Rear Bumper,1,1
