PurchaseOrderId,product,purchase_count
16286,Renault_Triber_Wheel Arch Front - LH,1
16286,Renault_Triber_Rear Wheel Arch Cladding - LH,1
16286,Renault_Triber_Rear Door - LH,1
16304,Honda_Amaze_Dicky Panel,1
16304,Honda_Amaze_Rear Bumper,1
16304,"Honda_Amaze_Holder, Rear Bumper Side - RH",1
16304,"Honda_Amaze_Holder, Rear Bumper Side - LH",1
16304,Honda_Amaze_Rear Tail Lamp - LH,1
16304,Honda_Amaze_Rear Tail Lamp - RH,1
16304,Honda_Amaze_Hinge Rear Door Slide - LH,1
16304,Honda_Amaze_Hinge Rear Door Slide - RH,1
16304,Honda_Amaze_Panel Assy -Tail Gate Trim,1
16239,Mahindra_Bolero_Shock Absorber,1
16239,Mahindra_Bolero_Head Lamp - RH,1
16239,Mahindra_Bolero_Bumper Grill,1
16194,Hyundai_Creta_Front Brake pad,1
16194,Hyundai_Creta_Oil Filter,1
16194,Hyundai_Creta_Air Filter,1
16194,Hyundai_Creta_Coolant Blue,1
16202,Ford_EcoSport_Clutch Master Cylinder,1
16202,Ford_EcoSport_Clutch Kit (Disc+Pressure Plate),1
16202,Ford_EcoSport_Clutch Release Bearing,1
16216,Maruti Suzuki_Gypsy_Clutch Kit (Disc+Pressure Plate),1
16216,Maruti Suzuki_Gypsy_Air Filter,1
16216,Maruti Suzuki_Gypsy_Rear Propellor Shaft,1
16215,Hyundai_Creta_Front Fender Lining - LH,1
16215,Hyundai_Creta_Rear Bumper Bracket - LH,1
16215,Hyundai_Creta_Quarter Panel Rear - RH,1
16215,Hyundai_Creta_Fender Liner Clip,1
16365,Maruti Suzuki_Alto 800_Steering Assy,1
16365,Maruti Suzuki_Alto 800_Front Shock Absorber,1
16365,Maruti Suzuki_Alto 800_Balance Rod,1
16365,Maruti Suzuki_Alto 800_Balance Rod Bush,1
16365,Maruti Suzuki_Alto 800_Lower Arm,1
16365,Maruti Suzuki_Alto 800_Oil Sump Packing,1
16248,Hyundai_i20_Balance Rod Bush,1
16248,Hyundai_i20_Front Stabilizer Link Set,1
